brand,price,ram_gb,storage_gb,storage_type,screen_size,os,processor_brand,processor_series,generation
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,69990,16,512.0,SSD,39.62,Windows 11,intel,i7,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
Acer,38990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Samsung,58150,16,512.0,SSD,39.62,Windows 11,intel,i7,13
Acer,25500,8,512.0,SSD,29.46,Windows 11,intel,budget,0
Samsung,53730,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,109990,32,1024.0,SSD,35.56,Windows 11,intel,i9,0
Acer,45990,16,512.0,SSD,35.56,Windows 11,intel,i5,13
Lenovo,38990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,42990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
Acer,35990,16,512.0,SSD,35.56,Windows 11,intel,i3,13
HP,41380,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
Samsung,72790,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,39990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,34990,8,512.0,SSD,39.62,Windows 11,intel,i3,12
Acer,29938,8,512.0,SSD,39.62,Windows 11,intel,budget,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,52990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
Acer,24899,8,256.0,SSD,29.46,Windows 11,intel,budget,0
Acer,59990,16,512.0,SSD,35.56,Windows 11,intel,i7,13
HP,48390,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Lenovo,52099,16,512.0,SSD,39.62,Windows 11,intel,i5,12
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Lenovo,44590,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Acer,56990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Acer,46990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
ASUS,68990,32,512.0,SSD,35.56,Windows 11,intel,i7,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,57990,16,512.0,SSD,38.86,Windows 11,other,snapdragon,0
ASUS,79990,32,1024.0,SSD,35.56,Windows 11,intel,i7,13
ASUS,41990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,35990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,59990,16,1024.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
Lenovo,36890,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Lenovo,62990,16,512.0,SSD,35.56,Windows 11,intel,i5,13
Acer,28990,8,128.0,SSD,29.46,Windows 11,intel,budget,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
DELL,46990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,50990,12,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,69990,16,512.0,SSD,39.62,Windows 11,intel,i7,0
Acer,64990,16,512.0,SSD,40.64,Windows 11,intel,i5,13
ASUS,35190,8,512.0,SSD,35.56,Windows 11,amd,ryzen 3,0
Acer,72990,32,1024.0,SSD,35.56,Windows 11,intel,i7,0
Ultimus,18490,8,256.0,SSD,35.81,Windows,intel,other,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
MSI,42990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
Acer,31990,8,512.0,SSD,35.56,Windows 11,intel,other,12
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,36990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
HP,62990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
DELL,42990,8,512.0,SSD,38.1,Windows 11,intel,i3,0
ASUS,65990,16,512.0,SSD,40.64,Windows 11,intel,i5,0
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
Acer,36990,16,512.0,SSD,39.62,Windows 11,intel,i3,12
ASUS,72990,16,512.0,SSD,39.62,Windows 11,intel,i9,13
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
HP,36740,8,512.0,SSD,35.56,Windows 11,intel,budget,0
ASUS,58990,32,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,47900,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,29990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,53990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,79399,16,512.0,SSD,40.89,Windows 11,intel,i5,14
Acer,94990,16,512.0,SSD,40.64,Windows 11,intel,i5,0
Acer,37990,16,512.0,SSD,35.56,Windows 11,intel,i5,12
HP,39990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,35190,8,512.0,SSD,35.56,Windows 11,amd,ryzen 3,0
ASUS,70990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Acer,32990,16,512.0,SSD,35.56,Windows 11,intel,other,12
ASUS,42990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
Acer,49901,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,52490,16,512.0,SSD,39.62,Windows 11,intel,i5,12
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Acer,23990,8,256.0,SSD,29.46,Windows 11,intel,budget,0
Lenovo,64990,16,1024.0,SSD,35.56,Windows 11,other,snapdragon,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
DELL,42990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,79990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,42990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Lenovo,62990,16,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
DELL,40790,8,512.0,SSD,35.56,Windows 11,intel,i3,14
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Lenovo,64990,16,1024.0,SSD,35.56,Windows 11,other,snapdragon,0
ASUS,70990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
HP,66999,16,1024.0,SSD,39.62,Windows 11,amd,ryzen 7,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Acer,94990,16,512.0,SSD,40.64,Windows 11,intel,i5,0
ASUS,81990,32,512.0,SSD,39.62,Windows 11,intel,i7,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,395990,32,2048.0,SSD,40.64,Windows 11,intel,i9,14
Acer,29990,12,256.0,SSD,35.56,Windows 11,intel,budget,0
HP,72990,16,512.0,SSD,35.56,Windows 11,intel,i7,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
MSI,42990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,65100,16,512.0,SSD,40.64,Windows 11,intel,i5,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,48990,8,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,64990,16,512.0,SSD,39.62,Windows 11,intel,i7,12
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
Acer,34990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
Acer,36938,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,395990,32,2048.0,SSD,40.64,Windows 11,intel,i9,14
Samsung,119990,16,1024.0,SSD,33.78,Windows 11,intel,i7,13
Acer,69990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,69990,16,512.0,SSD,39.62,Windows 11,intel,i7,0
Acer,31990,8,512.0,SSD,35.56,Windows 11,intel,other,12
Lenovo,109990,32,1024.0,SSD,35.56,Windows 11,intel,i9,0
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,38990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,279990,32,2048.0,SSD,40.64,Windows 11,intel,i9,14
ASUS,41990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,28990,8,128.0,SSD,29.46,Windows 11,intel,budget,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,37990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Lenovo,52490,16,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,33999,8,256.0,SSD,35.56,Windows 11,intel,i3,11
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,72990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
HP,40990,8,512.0,SSD,39.62,Windows 11,intel,i3,0
HP,48999,8,512.0,SSD,39.62,Windows 11,intel,i5,12
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,72990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
HP,52490,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
Acer,47490,16,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Acer,29990,12,256.0,SSD,35.56,Windows 11,intel,budget,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
Infinix,33990,16,512.0,SSD,40.64,Windows 11,intel,i3,13
MOTOROLA,60990,16,512.0,SSD,35.56,Windows 11,intel,i7,0
Lenovo,59490,12,512.0,SSD,39.62,Windows 11,intel,i5,12
Acer,37990,16,512.0,SSD,35.56,Windows 11,intel,i5,12
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,81990,32,512.0,SSD,39.62,Windows 11,intel,i7,0
HP,39450,8,512.0,SSD,39.62,Windows 11,intel,i3,14
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Acer,89999,16,1024.0,SSD,39.62,Windows 11,intel,i5,13
HP,47900,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Acer,69990,16,512.0,SSD,39.62,Windows 11,intel,i7,13
MSI,47990,16,512.0,SSD,35.56,Windows 11,intel,i5,12
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,101788,16,1024.0,SSD,35.56,Windows 11,intel,i5,13
Samsung,119990,16,1024.0,SSD,33.78,Windows 11,intel,i7,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,62990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
Acer,46965,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
HP,39450,8,512.0,SSD,39.62,Windows 11,intel,i3,14
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
MSI,42990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
Acer,53399,16,512.0,SSD,39.62,Windows 11,intel,i5,12
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
MSI,56990,8,512.0,SSD,35.56,Windows 11,intel,i7,12
MOTOROLA,60990,16,512.0,SSD,35.56,Windows 11,intel,i7,0
MSI,37990,16,512.0,SSD,35.56,Windows 11,intel,i3,12
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Infinix,33990,16,512.0,SSD,40.64,Windows 11,intel,i3,13
WINGS,37990,8,512.0,SSD,39.62,Windows 11,intel,i5,11
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,52490,16,512.0,SSD,39.62,Windows 11,intel,i5,12
Acer,36990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 3,0
DELL,44260,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Lenovo,62490,16,512.0,SSD,38.86,Windows 11,intel,i5,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,61490,16,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
MSI,36990,8,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
MSI,167680,16,1024.0,SSD,43.94,Windows 11,intel,i7,13
ASUS,41990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
MSI,192678,16,1024.0,SSD,43.94,Windows 11,intel,i9,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,59190,16,512.0,SSD,40.64,Windows 11,intel,i5,13
Lenovo,38990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
Acer,94990,16,512.0,SSD,40.64,Windows 11,intel,i5,0
Lenovo,115990,24,1024.0,SSD,39.62,Windows 11,amd,ryzen 7,0
ASUS,36990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
HP,39990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
HP,36740,8,512.0,SSD,35.56,Windows 11,intel,budget,0
HP,44990,8,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
ASUS,35190,8,512.0,SSD,35.56,Windows 11,amd,ryzen 3,0
DELL,41490,8,512.0,SSD,39.62,Windows 11,intel,i3,14
HP,76990,16,512.0,SSD,35.56,Windows 11,intel,i7,0
Lenovo,92490,24,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
ASUS,31990,8,512.0,SSD,39.62,Windows 11,intel,i3,12
Lenovo,44590,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Acer,50990,12,512.0,SSD,39.62,Windows 11,intel,i5,12
Samsung,127990,16,512.0,SSD,40.64,Windows 11,intel,i7,0
HP,35528,8,256.0,SSD,39.62,Windows 11,amd,other,0
MOTOROLA,64990,16,1024.0,SSD,35.56,Windows 11,intel,i7,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
ASUS,69990,16,512.0,SSD,39.62,Windows 11,intel,i7,0
Lenovo,69990,16,512.0,SSD,35.56,Windows 11,intel,i5,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
Lenovo,41990,8,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
HP,42490,16,512.0,SSD,39.62,Windows 11,intel,i3,13
DELL,48990,8,256.0,SSD,39.62,Windows 11,intel,i5,11
DELL,44990,16,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
MSI,38990,16,512.0,SSD,38.1,Windows 11,intel,i3,12
ASUS,57990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
DELL,40790,8,512.0,SSD,35.56,Windows 11,intel,i3,14
ASUS,144990,32,1024.0,SSD,35.56,Windows 11,intel,i9,12
Lenovo,50990,16,512.0,SSD,39.62,Windows 11,amd,ryzen 7,0
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
Lenovo,52990,16,512.0,SSD,39.62,Windows 11,intel,i5,12
ASUS,65990,16,512.0,SSD,35.56,Windows 11,other,snapdragon,0
DELL,79990,16,512.0,SSD,35.56,Windows 11,intel,i5,0
ASUS,69990,32,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,62121,12,512.0,SSD,39.62,Windows 11,intel,i5,13
MSI,59990,16,1024.0,SSD,38.1,Windows 11,intel,i7,12
HP,119990,24,1024.0,SSD,39.62,Windows 11,intel,i7,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,37990,8,512.0,SSD,35.56,Windows 11,intel,i3,13
ASUS,39990,16,512.0,SSD,39.62,Windows 11,intel,i3,13
MICROSOFT,112822,16,512.0,SSD,30.48,Windows 11,other,snapdragon,0
Lenovo,286890,32,1024.0,SSD,40.64,Windows 11,intel,i9,0
ASUS,56990,16,512.0,SSD,39.62,Windows 11,intel,i5,0
HP,149990,24,1024.0,SSD,38.86,Windows 11,intel,i7,14
HP,132990,24,1024.0,SSD,40.64,Windows 11,amd,other,0
ASUS,58990,16,512.0,SSD,35.56,Windows 11,other,snapdragon,0
Lenovo,59900,16,512.0,SSD,38.35,Windows 11,other,snapdragon,0
Acer,46990,16,1024.0,SSD,39.62,Windows 11,amd,ryzen 5,0
ASUS,37990,8,512.0,SSD,39.62,Windows 11,intel,i3,13
ASUS,58990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
DELL,122990,16,1024.0,SSD,40.64,Windows 11,intel,i7,0
Lenovo,94990,16,512.0,SSD,39.62,Windows 11,intel,i5,13
Acer,38990,16,512.0,SSD,35.56,Windows 11,amd,ryzen 5,0
ASUS,58990,32,512.0,SSD,35.56,Windows 11,intel,i5,13
